                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0675,                 1.9157,                 2.4786,                 1.2767,                0.58055,                0.66169,                0.55721,                0.33821,                0.59232,                0.66667,                0.56539,                0.35365,                 1.2583,                  2.262,                 1.8601,                 1.6544,             0.00066398,             0.00066398,             0.00066398
                      2,                 1.2359,                 2.0583,                 1.8303,                  1.396,                0.65333,                0.69383,                0.66965,                0.44131,                0.62784,                0.70149,                0.66169,                 0.3679,                 1.1868,                 3.1572,                 1.5176,                 1.5279,              0.0011989,              0.0011989,              0.0011989
                      3,                 1.2246,                 2.0516,                 1.5906,                 1.3897,                0.69229,                0.69399,                0.71558,                0.49009,                 0.7189,                0.67662,                 0.7201,                0.50065,                 1.1282,                 1.7638,                 1.1992,                 1.4704,              0.0016018,              0.0016018,              0.0016018
                      4,                 1.1513,                 1.9684,                 1.4503,                 1.3356,                0.67914,                0.67662,                 0.6556,                0.44035,                0.60218,                0.60199,                 0.5673,                0.30995,                 1.1876,                  2.834,                 1.2953,                 1.4938,               0.001406,               0.001406,               0.001406
                      5,                 1.0968,                 1.9333,                 1.3752,                 1.3032,                0.74932,                0.68657,                0.73625,                0.52666,                0.74581,                0.68159,                 0.7272,                0.52178,                 1.0648,                 1.6619,                 1.1346,                 1.3859,               0.001406,               0.001406,               0.001406
                      6,                 1.0274,                 1.8177,                   1.28,                 1.2465,                0.68132,                0.77646,                0.76117,                 0.5419,                0.69779,                0.74666,                 0.7595,                0.52262,                 1.0339,                 1.6665,                 1.0525,                 1.3561,               0.001208,               0.001208,               0.001208
                      7,                 0.9728,                 1.7441,                 1.2203,                 1.2169,                0.69242,                0.81095,                0.79281,                0.61847,                0.72762,                0.77612,                0.78994,                0.59882,                0.88162,                 1.5948,                0.89301,                 1.2536,                0.00101,                0.00101,                0.00101
                      8,                0.92304,                  1.593,                 1.1617,                 1.1854,                0.76007,                0.74627,                0.82194,                0.63329,                0.76514,                0.75124,                0.82287,                0.63328,                0.88805,                 1.4345,                0.84076,                 1.2555,               0.000812,               0.000812,               0.000812
                      9,                0.86986,                 1.5222,                 1.0885,                 1.1392,                0.72783,                 0.8408,                 0.8343,                0.67536,                0.72353,                0.83582,                0.83341,                0.65691,                 0.7602,                 1.3628,                0.76003,                 1.1571,               0.000614,               0.000614,               0.000614
                     10,                0.81752,                 1.4348,                 1.0418,                 1.1073,                0.73232,                0.83026,                0.84965,                0.68299,                0.73574,                0.83111,                0.85519,                0.67786,                0.75633,                 1.2932,                0.73541,                 1.1296,               0.000416,               0.000416,               0.000416
